DISPLASIA_OSSEA_FLORIDA;3;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;4;0.1;u
GENERO;;;MASCULINO;1;0.025;
FAIXA_ETARIA;1;0.125;0-9;0;0;u
FAIXA_ETARIA;;;10-19;0.5;0.0048076923;
FAIXA_ETARIA;;;20-29;0.5;0.0048076923;
FAIXA_ETARIA;;;30-39;2;0.0192307692;
FAIXA_ETARIA;;;40-49;3;0.0288461538;
FAIXA_ETARIA;;;50-59;3;0.0288461538;
FAIXA_ETARIA;;;60-69;2;0.0192307692;
FAIXA_ETARIA;;;ACIMA_DE_70;2;0.0192307692;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.0208333333;u
DENSIDADE;;;MISTA;3;0.0625;
DENSIDADE;;;RADIOPACA;2;0.0416666667;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0040322581;m
LOCALIZACAO;;;MAXILA_POSTERIOR;2;0.0080645161;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;2;0.0080645161;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;2;0.0080645161;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;2;0.0080645161;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;1;0.0040322581;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;0;0;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;0;0;
LOCALIZACAO;;;ARCO_ZIGOMATICO;0;0;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;2;0.0080645161;
LOCALIZACAO;;;PALATO_OSSEO;0.5;0.002016129;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;0.5;0.002016129;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0040322581;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0040322581;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0040322581;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0040322581;
LOCALIZACAO;;;INTERRADICULAR;1;0.0040322581;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0040322581;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;0;0;
LOCALIZACAO;;;AREA_EDENTULA;2;0.0080645161;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0;0;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;0;0;
LOCALIZACAO;;;PERIAPICAL;2;0.0080645161;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;2;0.0080645161;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;2;0.0080645161;
LOCALIZACAO;;;PERICORONARIA;0;0;
LIMITES;1;0.125;DEFINIDOS;2;0.03125;u
LIMITES;;;DEFINIDOS_(CORTICALIZADO);1;0.015625;
LIMITES;;;DISCRETAMENTE_DEFINIDOS_(CORTICAL_POUCO_NITIDA);1;0.015625;
LIMITES;;;DEFINIDOS_(HALO_RADIOLUCIDO);3;0.046875;
LIMITES;;;INDEFINIDOS_(DIFUSOS);1;0.015625;
FORMA;1;0.125;UNILOCULAR;1;0.0192307692;m
FORMA;;;MULTILOCULAR;0.5;0.0096153846;
FORMA;;;OVALADA_OU_ARREDONDADA;2;0.0384615385;
FORMA;;;FESTONADA;1;0.0192307692;
FORMA;;;SEM_FORMA_DEFINIDA;2;0.0384615385;
EFEITOS_NOS_TECIDOS_ADJACENTES;1;0.125;EXPANSAO_DAS_CORTICAIS_OSSEAS_(ABAULAMENTO);0.5;0.0037878788;m
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ADELGACAMENTO_DAS_CORTICAIS_OSSEAS;0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_RADICULAR_DO(S)_DENTE(S)_ENVOLVIDO(S);0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DENTARIO;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DIVERGENCIA_DE_RAIZES;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;INVADE_O_SEIO_MAXILAR;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DO_SEIO_MAXILAR;2;0.0151515152;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DA_FOSSA_NASAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_SUPERIOR_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_INFERIOR_DO_CANAL_DA_MANDIBULA;2;0.0151515152;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_PARCIALMENTE_ROMPIDA;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_INDEFINIDA;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERDA_DA_LAMINA_DURA;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ESTREITAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DO_ESPACO_ARTICULAR_ATM;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DA_CABECA_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DO_ASSOALHO_DA_FOSSA_NASAL;0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DA_BASE_DA_MANDIBULA;0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERFURACAO_DA_CORTICAL_OSSEA;1;0.0075757576;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DA_CRISTA_OSSEA_ALVEOLAR;0.5;0.0037878788;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IMPACTACAO_DENTARIA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBSTRUCAO_NASAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;AUMENTO_DOS_CORNETOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBLITERACAO_SINUSAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESVIO_DE_SEPTO;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;HIPERCEMENTOSE;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DO_TRABECULADO_OSSEO;2;0.0151515152;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_MENTUAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LIMITES_CORTICAIS_OSSEOS_INDEFINIDOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;NAO_APRESENTA;0;0;
INTERIOR_DA_LESAO;1;0.125;RADIOLUCIDA;1;0.0208333333;u
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO;1;0.0208333333;
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO_PROXIMO_A_COROA_DENTARIA;0;0;
INTERIOR_DA_LESAO;;;MISTA;2;0.0416666667;
INTERIOR_DA_LESAO;;;RADIOPACA;2;0.0416666667;
INTERIOR_DA_LESAO;;;SEPTACOES;0;0;
