DISPLASIA_OSSEA_PERIAPICAL;3;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;4;0.1;u
GENERO;;;MASCULINO;1;0.025;
FAIXA_ETARIA;1;0.125;0-9;0.5;0.005;u
FAIXA_ETARIA;;;10-19;0.5;0.005;
FAIXA_ETARIA;;;20-29;0.5;0.005;
FAIXA_ETARIA;;;30-39;2;0.02;
FAIXA_ETARIA;;;40-49;3;0.03;
FAIXA_ETARIA;;;50-59;3;0.03;
FAIXA_ETARIA;;;60-69;2;0.02;
FAIXA_ETARIA;;;ACIMA_DE_70;1;0.01;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.0416666667;u
DENSIDADE;;;MISTA;1;0.0416666667;
DENSIDADE;;;RADIOPACA;1;0.0416666667;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0045454545;m
LOCALIZACAO;;;MAXILA_POSTERIOR;1;0.0045454545;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;3;0.0136363636;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;1;0.0045454545;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;1;0.0045454545;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;0;0;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;0;0;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;0.5;0.0022727273;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0.5;0.0022727273;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;0.5;0.0022727273;
LOCALIZACAO;;;SEIO_MAXILAR;0.5;0.0022727273;
LOCALIZACAO;;;TUBER_DA_MAXILA;0.5;0.0022727273;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;0.5;0.0022727273;
LOCALIZACAO;;;ARCO_ZIGOMATICO;0.5;0.0022727273;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;0.5;0.0022727273;
LOCALIZACAO;;;PALATO_OSSEO;0.5;0.0022727273;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;0.5;0.0022727273;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0045454545;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0045454545;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0045454545;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1.5;0.0068181818;
LOCALIZACAO;;;INTERRADICULAR;1.5;0.0068181818;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1.5;0.0068181818;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;0.5;0.0022727273;
LOCALIZACAO;;;AREA_EDENTULA;2;0.0090909091;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0.5;0.0022727273;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;0.5;0.0022727273;
LOCALIZACAO;;;PERIAPICAL;3;0.0136363636;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;0.5;0.0022727273;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;1;0.0045454545;
LOCALIZACAO;;;PERICORONARIA;0;0;
LIMITES;1;0.125;DEFINIDOS;1;0.0178571429;u
LIMITES;;;DEFINIDOS_(CORTICALIZADO);1;0.0178571429;
LIMITES;;;DISCRETAMENTE_DEFINIDOS_(CORTICAL_POUCO_NITIDA);1;0.0178571429;
LIMITES;;;DEFINIDOS_(HALO_RADIOLUCIDO);3;0.0535714286;
LIMITES;;;INDEFINIDOS_(DIFUSOS);1;0.0178571429;
FORMA;1;0.125;UNILOCULAR;1;0.0277777778;m
FORMA;;;MULTILOCULAR;0;0;
FORMA;;;OVALADA_OU_ARREDONDADA;2;0.0555555556;
FORMA;;;FESTONADA;0.5;0.0138888889;
FORMA;;;SEM_FORMA_DEFINIDA;1;0.0277777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;1;0.125;EXPANSAO_DAS_CORTICAIS_OSSEAS_(ABAULAMENTO);0.5;0.0029069767;m
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ADELGACAMENTO_DAS_CORTICAIS_OSSEAS;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_RADICULAR_DO(S)_DENTE(S)_ENVOLVIDO(S);0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DENTARIO;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DIVERGENCIA_DE_RAIZES;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;INVADE_O_SEIO_MAXILAR;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DO_SEIO_MAXILAR;2;0.011627907;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DA_FOSSA_NASAL;1;0.0058139535;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_SUPERIOR_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_INFERIOR_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_PARCIALMENTE_ROMPIDA;1;0.0058139535;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_INDEFINIDA;2;0.011627907;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERDA_DA_LAMINA_DURA;2;0.011627907;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ESTREITAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;2;0.011627907;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;2;0.011627907;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DO_ESPACO_ARTICULAR_ATM;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DA_CABECA_DA_MANDIBULA;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DO_ASSOALHO_DA_FOSSA_NASAL;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DA_BASE_DA_MANDIBULA;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERFURACAO_DA_CORTICAL_OSSEA;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DA_CRISTA_OSSEA_ALVEOLAR;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IMPACTACAO_DENTARIA;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBSTRUCAO_NASAL;0.5;0.0029069767;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;AUMENTO_DOS_CORNETOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBLITERACAO_SINUSAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESVIO_DE_SEPTO;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;HIPERCEMENTOSE;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DO_TRABECULADO_OSSEO;1;0.0058139535;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_MENTUAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LIMITES_CORTICAIS_OSSEOS_INDEFINIDOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;NAO_APRESENTA;2;0.011627907;
INTERIOR_DA_LESAO;1;0.125;RADIOLUCIDA;1;0.0208333333;u
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO;1;0.0208333333;
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO_PROXIMO_A_COROA_DENTARIA;0;0;
INTERIOR_DA_LESAO;;;MISTA;2;0.0416666667;
INTERIOR_DA_LESAO;;;RADIOPACA;2;0.0416666667;
INTERIOR_DA_LESAO;;;SEPTACOES;0;0;
