HIPERPARATIREOIDISMO;0.5;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;0.8;0.1;u
GENERO;;;MASCULINO;0.2;0.025;
FAIXA_ETARIA;1;0.125;0-9;0.5;0.0096153846;u
FAIXA_ETARIA;;;10-19;0.5;0.0096153846;
FAIXA_ETARIA;;;20-29;0.5;0.0096153846;
FAIXA_ETARIA;;;30-39;1;0.0192307692;
FAIXA_ETARIA;;;40-49;1;0.0192307692;
FAIXA_ETARIA;;;50-59;1;0.0192307692;
FAIXA_ETARIA;;;60-69;1;0.0192307692;
FAIXA_ETARIA;;;ACIMA_DE_70;1;0.0192307692;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.1041666667;u
DENSIDADE;;;MISTA;0.2;0.0208333333;
DENSIDADE;;;RADIOPACA;0;0;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0048076923;m
LOCALIZACAO;;;MAXILA_POSTERIOR;1;0.0048076923;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;1;0.0048076923;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;1;0.0048076923;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;0;0;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0;0;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;1;0.0048076923;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;1;0.0048076923;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;1;0.0048076923;
LOCALIZACAO;;;ARCO_ZIGOMATICO;1;0.0048076923;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;1;0.0048076923;
LOCALIZACAO;;;PALATO_OSSEO;1;0.0048076923;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;1;0.0048076923;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0048076923;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0048076923;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0048076923;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0048076923;
LOCALIZACAO;;;INTERRADICULAR;1;0.0048076923;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0048076923;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;1;0.0048076923;
LOCALIZACAO;;;AREA_EDENTULA;1;0.0048076923;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0;0;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;0;0;
LOCALIZACAO;;;PERIAPICAL;1;0.0048076923;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;1;0.0048076923;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;1;0.0048076923;
LOCALIZACAO;;;PERICORONARIA;0;0;
LIMITES;1;0.125;DEFINIDOS;1;0.0277777778;u
LIMITES;;;DEFINIDOS_(CORTICALIZADO);1;0.0277777778;
LIMITES;;;DISCRETAMENTE_DEFINIDOS_(CORTICAL_POUCO_NITIDA);1;0.0277777778;
LIMITES;;;DEFINIDOS_(HALO_RADIOLUCIDO);1;0.0277777778;
LIMITES;;;INDEFINIDOS_(DIFUSOS);0.5;0.0138888889;
FORMA;1;0.125;UNILOCULAR;1;0.03125;m
FORMA;;;MULTILOCULAR;1;0.03125;
FORMA;;;OVALADA_OU_ARREDONDADA;1;0.03125;
FORMA;;;FESTONADA;0.5;0.015625;
FORMA;;;SEM_FORMA_DEFINIDA;0.5;0.015625;
EFEITOS_NOS_TECIDOS_ADJACENTES;1;0.125;EXPANSAO_DAS_CORTICAIS_OSSEAS_(ABAULAMENTO);2;0.0138888889;m
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ADELGACAMENTO_DAS_CORTICAIS_OSSEAS;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_RADICULAR_DO(S)_DENTE(S)_ENVOLVIDO(S);0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DENTARIO;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DIVERGENCIA_DE_RAIZES;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;INVADE_O_SEIO_MAXILAR;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DO_SEIO_MAXILAR;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DA_FOSSA_NASAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_SUPERIOR_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_INFERIOR_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_PARCIALMENTE_ROMPIDA;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_INDEFINIDA;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERDA_DA_LAMINA_DURA;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ESTREITAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;1;0.0069444444;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;1;0.0069444444;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DO_ESPACO_ARTICULAR_ATM;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DA_CABECA_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DO_ASSOALHO_DA_FOSSA_NASAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DA_BASE_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERFURACAO_DA_CORTICAL_OSSEA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DA_CRISTA_OSSEA_ALVEOLAR;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IMPACTACAO_DENTARIA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBSTRUCAO_NASAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;AUMENTO_DOS_CORNETOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBLITERACAO_SINUSAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESVIO_DE_SEPTO;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;HIPERCEMENTOSE;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DO_TRABECULADO_OSSEO;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_CANAL_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_DA_MANDIBULA;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_FORAME_MENTUAL;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LIMITES_CORTICAIS_OSSEOS_INDEFINIDOS;2;0.0138888889;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;NAO_APRESENTA;0;0;
INTERIOR_DA_LESAO;1;0.125;RADIOLUCIDA;1;0.0625;u
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO;0.5;0.03125;
INTERIOR_DA_LESAO;;;RADIOLUCIDA_COM_FOCOS_DE_CALCIFICACAO_PROXIMO_A_COROA_DENTARIA;0;0;
INTERIOR_DA_LESAO;;;MISTA;0.5;0.03125;
INTERIOR_DA_LESAO;;;RADIOPACA;0;0;
INTERIOR_DA_LESAO;;;SEPTACOES;0;0;
